t X Y Z U V W
1872.00 15.12076115410902 5.198755397925972 -1.613406966933401 81.32039622310154 -184.0588713101384 -59.61982348511253
1873.00 15.20244840468498 5.010019154795285 -1.673945681756728 78.42909089500674 -185.0322893816092 -58.77025666877632
1874.00 15.28117760126106 4.820308043161256 -1.733612116064482 75.53560711712245 -185.9653921851921 -57.91400021827647
1875.00 15.35694671198469 4.62966316873545 -1.792399527619268 72.64032669203667 -186.8584223784114 -57.05124607968603
1876.00 15.42975409078275 4.43812539030484 -1.850301364614973 69.74362232258987 -187.711620167057 -56.18217500720725
1877.00 15.49959846824886 4.2457353223257 -1.907311255052081 66.84585798667251 -188.5252231393304 -55.3069581123443
1878.00 15.56647894290349 4.052533337677346 -1.963422997537625 63.94738929217353 -189.2994661185872 -54.42575811380559
1879.00 15.63039497280822 3.858559570558058 -2.018630553240015 61.04856381498097 -190.0345810321546 -53.5387303557592
1880.00 15.69134636751805 3.663853919507854 -2.072928038788942 58.14972142231437 -190.7307967941934 -52.64602364516433
1881.00 15.74933328035756 3.468456050544567 -2.126309719955927 55.25119458319922 -191.388339200952 -51.74778094659465
1882.00 15.80435620100872 3.272405400401317 -2.178770005985393 52.35330866753947 -192.0074308370507 -50.84413996391509
1883.00 15.85641594839922 3.075741179854666 -2.230303444472643 49.45638223497061 -192.5882909916594 -49.93523363144597
1884.00 15.90551366388144 2.878502377133865 -2.280904716705547 46.56072731446469 -193.1311355836109 -49.02119053220181
1885.00 15.9516508046929 2.680727761402457 -2.330568633402647 43.66664967549523 -193.6361770946353 -48.10213525697635
1886.00 15.99482913769012 2.482455886304312 -2.379290130793016 40.77444909143983 -194.1036245100101 -47.17818871513425
1887.00 16.03505073334804 2.283725093566848 -2.427064266992984 37.88441959579727 -194.5336832660201 -46.24946840573276
1888.00 16.07231796001808 2.084573516654714 -2.473886218642871 34.99684973171433 -194.9265552036919 -45.31608865586466
1889.00 16.10663347843809 1.885039084467786 -2.51975127777312 32.11202279525226 -195.2824385283315 -44.37816083176364
1890.00 16.13800023648817 1.685159525077756 -2.564654848874341 29.23021707277111 -195.601527774452 -43.43579352715387
1891.00 16.16642146418617 1.484972369497997 -2.608592446149919 26.3517060727663 -195.8840137757136 -42.48909273248864
1892.00 16.19190066891784 1.284514955481751 -2.651559690933243 23.47675875245834 -196.1300836395447 -41.53816198805895
1893.00 16.21444163089596 1.083824431344007 -2.693552309254307 20.60563973940697 -196.3399207261428 -40.58310252342204
1894.00 16.23404839884378 0.882937759802725 -2.734566129542817 17.73860954839768 -196.5137046315791 -39.62401338517382
1895.00 16.25072528589786 0.6818917218353631 -2.774597080456705 14.8759247938285 -196.6516111747626 -38.66099155474449
1896.00 16.26447686572599 0.4807229205468397 -2.813641188826641 12.01783839780885 -196.753812388034 -37.6941320576192
1897.00 16.27530796885578 0.2794677850453655 -2.85169457770836 9.16459979416752 -196.8204765111872 -36.72352806515656
1898.00 16.28322367920989 0.07816257432270773 -2.888753464535755 6.316455128555515 -196.8517679887274 -35.74927098999298
1899.00 16.28822933084392 -0.1231566188643179 -2.924814159368627 3.473647454818762 -196.8478474701926 -34.77145057586775
1900.00 16.29033050488338 -0.3244538641141853 -2.959873063229751 0.6364169278070865 -196.808871813383 -33.79015498257682
1901.00 16.28953302665606 -0.525693389505721 -2.993926666526598 -2.194999007222048 -196.7349940903507 -32.80547086665981
1902.00 16.2858429630164 -0.7268395777306492 -3.026971547553607 -5.020365428453204 -196.6263635960203 -31.8174834583369
1903.00 16.27926661985863 -0.9278569622362453 -3.059004371071417 -7.839449754470335 -196.4831258593154 -30.82627663514052
1904.00 16.26981053981566 -1.128710223380602 -3.090021886959882 -10.6520215641815 -196.3054226566822 -29.83193299262539
1905.00 16.25748150014055 -1.329364184602906 -3.120020928942044 -13.45785241957537 -196.0933920279105 -28.8345339124896
1906.00 16.24228651076793 -1.529783808611038 -3.148998413376584 -16.25671569117849 -195.8471682941556 -27.83415962839685
1907.00 16.22423281255255 -1.729934193588679 -3.176951338116508 -19.04838638608615 -195.5668820780834 -26.83088928975275
1908.00 16.20332787568254 -1.929780569424087 -3.203876781432121 -21.83264097844359 -195.252660326059 -25.82480102365835
1909.00 16.17957939826465 -2.129288293962571 -3.2297719009965 -24.60925724225738 -194.9046263323131 -24.81597199523687
1910.00 16.15299530507954 -2.328422849284675 -3.254633932931913 -27.37801408642079 -194.5228997650278 -23.80447846650792
1911.00 16.12358374650456 -2.527149838011977 -3.278460190915768 -30.13869139183891 -194.1075966942847 -22.79039585396412
1912.00 16.0913530976021 -2.725434979642442 -3.301248065344853 -32.89106985054334 -193.6588296218327 -21.77379878498899
1913.00 16.05631195737152 -2.923244106917081 -3.322995022556716 -35.63493080668785 -193.1767075126335 -20.7547611532406
1914.00 16.01846914816283 -3.120543162219814 -3.34369860410722 -38.37005609932037 -192.6613358281513 -19.73335617311363
1915.00 15.9778337152502 -3.317298194012213 -3.363356426103356 -41.09622790682807 -192.1128165613594 -18.7096564333823
1916.00 15.93441492656379 -3.513475353304966 -3.381966178590558 -43.81322859295521 -191.5312482734424 -17.68373395011692
1917.00 15.88822227257832 -3.709040890167678 -3.399525624993773 -46.52084055429593 -190.9167261321744 -16.65566021896024
1918.00 15.8392654663568 -3.903961150278813 -3.416032601611724 -49.21884606916669 -190.2693419519668 -15.62550626684177
1919.00 15.78755444374835 -4.098202571517435 -3.431485017163791 -51.90702714776465 -189.5891842355768 -14.59334270320366
1920.00 15.73309936373835 -4.291731680598447 -3.445880852389053 -54.58516538352149 -188.8763382174779 -13.55923977080542
1921.00 15.67591060895033 -4.484515089753045 -3.459218159697136 -57.25304180556364 -188.1308859088959 -12.52326739617178
1922.00 15.61599878629799 -4.676519493456067 -3.471495062870443 -59.91043673219267 -187.3529061445204 -11.48549523974286
1923.00 15.55337472778674 -4.867711665201989 -3.482709756817577 -62.55712962530168 -186.5424746309081 -10.44599274578345
1924.00 15.48804949146355 -5.058058454331313 -3.492860507377713 -65.19289894564578 -185.6996639965944 -9.40482919210505
1925.00 15.42003436251457 -5.247526782909063 -3.501945651175724 -67.81752200888647 -184.8245438439405 -8.362073739651636
1926.00 15.34934085450938 -5.436083642657183 -3.509963595527971 -70.43077484233302 -183.9171808027424 -7.317795481998445
1927.00 15.27598071079171 -5.623696091942748 -3.516912818398711 -73.03243204230584 -182.9776385856372 -6.272063494810841
1928.00 15.19996590601549 -5.810331252823698 -3.52279186840706 -75.62226663204767 -182.005978045345 -5.224946885309074
1929.00 15.12130864782612 -5.995956308154101 -3.52759936488459 -78.20004992011415 -181.0022572337881 -4.176514841783228
1930.00 15.04002137868627 -6.180538498750876 -3.531333997983581 -80.76555135917323 -179.9665314631368 -3.126836683201698
1931.00 14.95611677784595 -6.364045120623908 -3.533994528836095 -83.31853840514994 -178.8988533688322 -2.075981908955612
1932.00 14.86960776345643 -6.546443522271701 -3.535579789764008 -85.85877637665143 -177.7992729746454 -1.024020248780946
1933.00 14.78050749482789 -6.727701102044596 -3.536088684540193 -88.38602831461272 -176.6678377598319 0.02897828710053572
1934.00 14.68882937483043 -6.907785305577772 -3.535520188701121 -90.900054842104 -175.5045927284494 1.082943357580597
1935.00 14.59458705243843 -7.086663623296302 -3.53387334991114 -93.4006140242455 -174.3095804809082 2.137804239963491
1936.00 14.49779442541817 -7.264303587994513 -3.531147288378819 -95.88746122817554 -173.0828412878325 3.193489778923956
1937.00 14.39846564315861 -7.440672772492152 -3.527341197325629 -98.36034898302272 -171.8244131663093 4.249928335083493
1938.00 14.2966151096454 -7.615738787369722 -3.522454343507456 -100.8190268398357 -170.5343319586131 5.307047733163954
1939.00 14.19225748657823 -7.789469278785695 -3.516486067789383 -103.2632412314262 -169.2126314134943 6.364775209676989
1940.00 14.0854076966315 -7.961831926378166 -3.509435785774194 -105.6927353320836 -167.8593432701284 7.42303736010728
1941.00 13.97608092685861 -8.1327944412538 -3.501302988485184 -108.1072489171261 -166.4744973448229 8.481760085546769
1942.00 13.86429263223991 -8.302324564066865 -3.492087243103863 -110.5065182222522 -165.0581216205889 9.540868538736031
1943.00 13.75005853937471 -8.470390063191417 -3.481788193763126 -112.8902758026628 -163.6102423396874 10.60028706946775
1944.00 13.63339465031735 -8.636958732989697 -3.470405562396641 -115.258250391928 -162.1308840992636 11.6599391693059
1945.00 13.51431724655791 -8.801998392179934 -3.457939149645126 -117.6101667605742 -160.6200699501912 12.71974741557241
1946.00 13.39284289314756 -8.965476882306969 -3.444388835820301 -119.9457455743746 -159.077821499253 13.77963341455125
1947.00 13.26898844296905 -9.12736206631908 -3.429754581927369 -122.2647032523272 -157.5041590147852 14.83951774385746
1948.00 13.1427710411526 -9.287621827254773 -3.41403643074685 -124.5667518243112 -155.8991015359274 15.89931989391582
1949.00 13.01420812963754 -9.446224067043106 -3.397234507976782 -126.8515987884149 -154.2626669856161 16.95895820849123
1950.00 12.88331745188001 -9.603136705421607 -3.379349023436226 -129.1189469679381 -152.5948722874727 18.01834982420828
