!prob.|identifier|coord1 (ICRS,J2000)|plx|radvel|Mag U|Mag B|Mag V|Mag R|Mag G|Mag I|Mag J|Mag H|Mag K|spec. type
!------|-----------------------------------|---------------------------------------|---------|-------------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------------
100|[BVM98] M 67 54|08 51 04.43 +11 41 51.6|~|~|~|21.02|19.36|~|~|~|~|~|~|~
100|2MASS J08495268+1100195|08 49 52.6861368096 +11 00 19.450483092|3.1214|-13.4|~|~|~|~|13.835823|~|12.045|11.421|11.280|~
100|2MASS J08495604+1314034|08 49 56.0452859496 +13 14 03.318488844|0.1844|238.138000|~|~|~|~|11.818641|~|10.094|9.430|9.313|~
100|2MASS J08495752+1046205|08 49 57.5277264960 +10 46 20.620253388|0.6274|77.117996|~|~|~|~|13.980565|~|12.526|12.064|11.974|~
100|2MASS J08500111+1237590|08 50 01.1137000320 +12 37 58.958758992|5.4799|-11.489800|~|~|~|~|14.155722|~|12.148|11.458|11.329|M1.2
100|2MASS J08500821+1243252|08 50 08.2186453536 +12 43 25.134181320|0.7964|58.267200|~|~|~|~|11.617917|~|10.141|9.625|9.541|~
100|2MASS J08501044+1239515|08 50 10.4440730664 +12 39 51.473742228|1.4998|17.619600|~|~|~|~|15.237791|~|13.729|13.213|13.123|~
84|2MASS J08501245+1017551|08 50 12.4589907936 +10 17 55.158390168|0.9895|~|~|~|~|~|18.151381|~|15.811|15.121|15.105|~
92|2MASS J08501366+1313579|08 50 13.6681904736 +13 13 57.852998508|1.2279|~|~|~|~|~|17.832634|~|15.292|14.634|14.287|~
100|2MASS J08501512+1100464|08 50 15.1288135200 +11 00 46.455708816|1.0501|144.386002|~|~|~|~|12.484000|~|11.106|10.642|10.552|~
100|2MASS J08501854+1231163|08 50 18.5335310280 +12 31 16.238445528|2.3322|70.577003|~|~|~|~|15.215673|~|13.441|12.843|12.710|~
100|2MASS J08501963+1247028|08 50 19.6322674080 +12 47 02.947751268|0.7904|-15.0|~|13.24|11.11|~|11.258540|~|9.743|9.227|9.122|~
100|2MASS J08503181+1054192|08 50 31.8209541072 +10 54 19.115790948|0.2481|6.590650|~|~|~|~|12.287170|~|10.681|10.104|9.999|~
100|2MASS J08503276+1042434|08 50 32.7626070960 +10 42 43.355547792|1.0932|~|~|~|~|~|16.673532|~|14.991|14.226|14.140|~
85|2MASS J08503657+1021572|08 50 36.5744209032 +10 21 57.162157344|1.0478|~|~|~|~|~|17.761271|~|15.828|14.937|14.850|~
100|2MASS J08503677+1239197|08 50 36.7752994632 +12 39 19.742608548|2.8839|-24.362000|~|~|~|~|14.018457|~|12.575|12.040|11.958|~
100|2MASS J08504222+1232433|08 50 42.2169297240 +12 32 43.244896992|5.2648|32.153599|~|~|~|~|13.367463|~|11.589|10.996|10.882|~
100|2MASS J08504255+1056355|08 50 42.5600766120 +10 56 35.486036664|~|65.784401|~|~|~|~|15.643872|~|14.115|13.672|13.560|~
99|2MASS J08505032+1011541|08 50 50.3135830680 +10 11 54.265549488|1.0707|~|~|~|~|~|17.273746|~|15.283|14.560|14.457|~
100|2MASS J08505319+1237116|08 50 53.2000968432 +12 37 11.646230628|0.4687|61.276501|~|~|~|~|13.194006|~|11.795|11.309|11.203|~
66|2MASS J08505846+1039529|08 50 58.4739834864 +10 39 52.747723908|1.2474|~|~|~|~|~|19.720125|~|17.114|16.171|15.772|~
100|2MASS J08510439+1208246|08 51 04.3884697584 +12 08 24.571372380|1.1616|33.7|~|13.9|13.294|~|13.141925|~|12.181|11.917|11.850|~
72|2MASS J08510561+0953488|08 51 05.6015484672 +09 53 48.789853224|1.3324|~|~|~|~|~|17.569996|~|15.252|14.533|14.376|~
72|2MASS J08511189+0921577|08 51 11.8916530944 +09 21 57.616666560|1.0346|~|~|~|~|~|18.098593|~|15.832|15.097|14.979|~
100|2MASS J08511292+1234492|08 51 12.9210498768 +12 34 49.257824232|1.5434|38.248501|~|~|~|~|14.393846|~|12.945|12.459|12.337|~
74|2MASS J08511313+1417510|08 51 13.1237169456 +14 17 51.098400420|0.9465|~|~|~|~|~|17.630178|~|15.522|14.921|14.454|~
100|2MASS J08511389+1235484|08 51 13.8904437024 +12 35 48.594749604|2.2989|-1.732350|~|~|~|~|15.689408|~|14.026|13.488|13.351|~
71|2MASS J08511422+1405393|08 51 14.2223039928 +14 05 39.476662440|1.0451|~|~|~|~|~|18.622402|~|15.740|15.077|14.767|~
